"Sentence","Years.Incarcerated","Years.Convicted","Year.of.Release","Year.of.Exoneration","Year.of.Posting"
"5 years",1,2,2016,2017,2020
"4 years",1,1,2018,2018,2019
"Probation",0,0,2014,2014,2014
"8 months",0,2,2014,2016,2020
"5 years",0,5,1988,1993,2013
"Life without parole",22,22,2021,2021,2021
"4 years",2,2,2010,2010,2022
"9 years",8,12,1990,1993,2012
"Probation",0,0,2014,2014,2015
"7 years",2,2,2015,2015,2015
"Probation",0,1,2013,2014,2015
"Life",4,4,2006,2006,2017
"6 years",5,8,2008,2012,2012
"50 years",5,5,1990,1990,2019
"15 years",1,1,2003,2003,2011
"Not sentenced",0,3,2019,2022,2022
"Life",21,24,2006,2009,2011
"35 years",3,3,2000,2000,2011
"10 years",4,34,1982,2012,2012
"Life without parole",6,6,2022,2022,2023
"16 years",0,0,1993,1993,2016
"16 years",7,7,2003,2003,2016
"Unknown",1,1,2010,2010,2022
"Life without parole",3,3,2014,2014,2014
"Life",18,18,2022,2022,2022
"10 years",1,1,2009,2009,2022
"5 years and 6 months",1,1,2009,2009,2022
"25 to Life",19,19,2008,2009,2011
"36 years",7,13,2016,2021,2021
"40 years",9,13,2018,2021,2021
"80 years",24,24,2017,2017,2017
"85 years",14,14,2011,2011,2012
"45 days",0,0,2016,2016,2016
"Unknown",1,3,1998,2000,2021
"10 years",1,3,2001,2003,2022
"Probation",0,3,2000,2003,2022
"4 days",0,0,2016,2017,2017
"Life",22,22,2013,2014,2016
"18 to Life",7,7,2003,2003,2011
"50 years",21,21,2010,2010,2011
"30 years",13,26,2004,2018,2018
"20 years",8,10,1994,1995,2015
"2 to 6 years",1,3,1994,1996,2021
"25 to life",23,23,2018,2018,2020
"20 to life",19,19,2003,2004,2015
"2 years",0,1,2013,2013,2013
"30 years",14,14,1997,1997,2011
"Life without parole",0,20,2003,2023,2024
"10 to 15 years",4,5,2009,2010,2011
"40 to Life",10,10,2021,2021,2021
"16 years",7,8,1995,1996,2014
"7 months",0,7,2008,2015,2015
"Probation",0,16,2005,2022,2022
"80 years",33,33,2023,2023,2024
"50 years",13,13,2009,2009,2011
"25 years",0,0,1989,1990,2011
"Life without parole",5,6,1999,2000,2012
"25 to 75 years",3,3,1989,1989,2012
"18 years",9,9,2007,2007,2011
"1 year",0,1,2009,2010,2022
"Not sentenced",0,0,2014,2014,2015
"15 to Life",6,6,2003,2003,2015
"Probation",0,2,2018,2021,2021
"20 years",1,1,2001,2001,2013
"Probation",0,11,2007,2018,2018
"12 1/2 to 25 years",10,10,2007,2007,2011
"Life without parole",21,21,2021,2021,2021
"120 days",0,2,2011,2014,2014
"Probation",0,17,2004,2022,2022
"2 to 5 years",1,5,2010,2014,2014
"25 to Life",12,15,2008,2011,2012
"3 years and 8 months",1,4,2018,2021,2022
"3 years",3,3,2003,2003,2022
"Death",24,24,2018,2018,2018
"Life without parole",32,32,2023,2023,2023
"22 to life",4,4,2015,2015,2017
"Life without parole",18,18,2020,2020,2020
"Life without parole",10,10,2019,2019,2019
"60 years",23,23,2023,2023,2023
"243 years",27,28,2017,2018,2018
"15 days",0,0,2014,2014,2015
"Life",21,24,2000,2003,2011
"23 to Life",17,17,2009,2009,2011
"Life",22,22,2017,2017,2017
"Life without parole",16,16,2020,2020,2021
"Life without parole",22,23,2018,2019,2019
"35 years",7,7,1999,2000,2011
"50 years",10,11,1995,1997,2011
"2 years and 9 months",2,2,2010,2010,2022
"25 to Life",6,6,1993,1993,2011
"Life",15,15,2003,2003,2011
"25 to Life",16,21,1990,1995,2011
"55 years",30,31,2019,2020,2020
"30 days",0,7,2007,2015,2015
"3 years",0,0,2013,2013,2013
"Life",29,30,2010,2010,2011
"Probation",0,0,2005,2006,2014
"1 year and 6 months",0,1,2023,2023,2023
"40 years",10,13,2018,2021,2021
"60 years",13,14,2018,2019,2019
"Life",31,31,2019,2019,2019
"40 years",13,13,2009,2009,2012
"4 years",0,13,2005,2018,2018
"Death",13,13,2008,2008,2011
"25 to life",3,3,1989,1989,2013
"36 to Life",7,7,1998,1998,2011
