"Sentence","Years.Incarcerated","Years.Convicted","Year.of.Release","Year.of.Exoneration","Year.of.Posting"
"1 year",0,0,2007,2007,2013
"90 years",26,26,2022,2022,2022
"Death",13,13,1995,1995,2011
"Death",10,10,1995,1995,2011
"Probation",0,1,2014,2016,2018
"10 years",0,0,1997,1997,2011
"12 years",4,4,2008,2008,2012
"8 years",4,4,2022,2022,2023
"9 years",4,4,2001,2001,2011
"3 months",0,14,2008,2022,2022
"16 years",7,29,1988,2011,2011
"46 years and 6 months",2,2,1997,1997,2012
"7 years",1,1,2015,2015,2015
"47 years",4,4,1999,1999,2012
"Life",15,16,2020,2020,2021
"Life",11,11,2018,2019,2019
"150 days",0,9,2007,2016,2016
"Not sentenced",0,1,2002,2003,2011
"10 to 40 years",4,5,1995,1995,2019
"Probation",0,1,2013,2014,2014
"4 years",1,12,2007,2018,2018
"1 year and 7 months",0,4,2008,2011,2013
"2 months",0,6,2010,2016,2018
"4 3/4 to 15 years",2,2,2008,2008,2011
"12 1/2 to 20 years",7,7,1991,1991,2011
"Life without parole",15,15,1999,1999,2014
"1 year and 3 months",0,8,2008,2016,2016
"Life",18,18,2007,2007,2011
"16 years",9,9,2007,2007,2011
"2 to 20 years",2,2,2008,2008,2022
"Not sentenced",1,1,1992,1992,2011
"Death",20,22,2009,2012,2012
"20 to Life",20,30,1995,2005,2011
"Life",19,19,2015,2015,2015
"Life",38,38,2018,2018,2018
"10 to 14 years",6,6,2008,2008,2011
"Life",11,12,2001,2002,2011
"Probation",0,4,2010,2014,2015
"5 years",0,4,2014,2018,2018
"12 years",5,5,2001,2001,2012
"60 days",0,0,2012,2013,2013
"20 years",11,24,1992,2005,2011
"50 years",23,26,2020,2022,2022
"Life",31,31,2012,2012,2012
"Not sentenced",0,1,1990,1992,2014
"7 1/2 to 15 years",6,24,1997,2015,2015
"3 years",0,0,2007,2007,2011
"Probation",0,16,2005,2022,2022
"Not sentenced",0,0,2006,2006,2011
"36 years",3,6,2014,2018,2019
"10 to 20 years",8,8,1995,1995,2011
"22 years",6,7,2014,2014,2014
"Life without parole",9,9,2023,2023,2023
"14 to 35 years",9,9,1995,1995,2011
"18 to life",14,15,2021,2021,2021
"28 years and 3 months",5,5,2020,2020,2020
"40 years",5,5,2013,2013,2013
"Life without parole",13,17,2007,2010,2011
"50 years",5,5,2023,2023,2023
"Not sentenced",0,0,2006,2006,2011
"20 years and 6 months",16,17,2010,2010,2011
"45 years",9,12,2006,2009,2011
"90 days",0,3,2014,2017,2017
"16 to life",14,14,2020,2020,2020
"23 years",11,12,2015,2016,2016
"12 years",0,3,2019,2022,2022
"60 years",24,24,2018,2018,2018
"Probation",0,2,2013,2015,2016
"60 years",9,9,2002,2002,2011
"40 years",24,33,2015,2023,2023
"Life",4,4,2017,2017,2017
"Life",10,10,1994,1994,2011
"50 to life",13,13,2017,2017,2017
"25 to life",23,23,2013,2013,2013
"Not sentenced",0,0,2015,2015,2015
"5 years and 6 months to 24 years",3,15,2009,2022,2022
"10 years",5,19,1994,2009,2011
"Life",0,0,2004,2004,2011
"Life",10,11,2020,2021,2021
"Life",10,11,2020,2021,2021
"25 to Life",20,20,2020,2020,2020
"10 years",0,0,1993,1993,2011
"30 years",22,22,2004,2004,2011
"Death",7,7,1993,1993,2011
"Life without parole",15,15,2021,2021,2021
"Not sentenced",0,0,1989,1989,2017
"25 years",13,13,2007,2008,2011
"Life",24,24,2022,2022,2022
"Life",24,24,2022,2022,2022
"20 years",9,17,2014,2022,2022
"1 year",0,10,2008,2018,2018
"Life without parole",17,17,2017,2017,2018
"Life without parole",15,17,2008,2010,2011
"4 years",1,19,2005,2023,2023
"4 years",1,1,2009,2009,2022
"6 months",0,7,2008,2015,2015
"10 years",1,1,1991,1991,2018
"10 to 25 years",7,11,2003,2007,2016
"7 1/2 to 15 years",9,13,2012,2017,2017
"19 to 57 years",28,28,2017,2017,2018
"Life without parole",23,23,2022,2022,2022
"15 years",6,6,2012,2012,2013
"15 to Life",15,15,2006,2006,2011
"5 years",3,5,2017,2018,2018
"1 year and 10 months",1,7,1996,2002,2016
"Life",15,15,2012,2012,2012
"15 to Life",12,14,2004,2006,2011
"Death",7,7,1999,1999,2011
"15 years",5,36,1982,2013,2013
"172 years",8,8,2012,2012,2012
"Life",25,25,2005,2005,2011
"15 years",8,27,1993,2012,2014
"Fine",0,1,2016,2017,2017
"Probation",0,3,2011,2014,2014
"Life without parole",10,17,2009,2016,2016
"6 months",0,17,1984,2001,2013
"2 to 15 years",0,5,1993,1998,2020
"Probation",0,22,1998,2021,2022
"Life",4,5,1990,1991,2011
"Life",4,5,1990,1991,2011
"180 days",0,11,2012,2023,2023
"Life",26,27,2008,2008,2011
"Life",13,15,2001,2003,2011
"Life",3,13,1984,1994,2012
"Life",4,4,1997,1997,2013
"25 to life",19,19,2016,2016,2016
"Life",29,30,2010,2010,2011
"180 days",0,11,2006,2017,2017
"Life",15,15,2001,2001,2014
"90 days",0,0,2014,2015,2015
"45 years",10,10,2001,2001,2011
"Not sentenced",0,0,2005,2006,2018
"20 to Life",16,23,2015,2022,2022
"Probation",0,4,2017,2022,2022
"Life",9,9,2022,2022,2022
"38 1/3 to life",26,26,2018,2018,2018
"3 years",1,14,2005,2019,2019
"2 years and 6 months",0,12,2010,2022,2022
"10 years and 10 months",3,5,1998,2000,2011
"10 years and 10 months",3,5,1998,2000,2011
"20 years",1,1,2015,2015,2015
"9 to 18 years",5,5,1990,1990,2014
"Life",17,17,2005,2005,2011
"9 years",3,12,1993,2002,2011
"Not sentenced",0,0,2006,2006,2012
"25 to life",27,31,2016,2020,2020
"60 years",23,23,2016,2016,2016
"Life without parole",7,8,2022,2023,2024
"25 to life",18,20,2020,2022,2022
"60 years",22,22,2018,2018,2018
"4 to 10 years",1,2,1996,1997,2018
"13 to 26 years",18,18,2005,2005,2011
"25 to 50 years",5,10,1985,1989,2011
"26 to life",6,6,2022,2022,2023
"20 years",13,13,2020,2020,2022
"Death",13,13,2009,2009,2011
"Life",2,3,1989,1990,2012
"45 years",1,1,1991,1992,2012
"20 years",7,8,2000,2001,2011
"Probation",0,2,2014,2017,2017
"Life",2,2,2013,2013,2013
"Death",5,5,2001,2001,2011
"Life",14,14,2003,2003,2011
"12 to 40 years",5,5,2007,2007,2011
"Death",35,35,2020,2020,2020
"Life",23,24,2016,2016,2016
"15 years",0,0,2001,2001,2013
"20 years",19,19,2011,2011,2012
"25 years",25,26,2018,2018,2018
"39 to life",17,17,2016,2016,2016
"8 months",0,7,2008,2015,2015
"Life without parole",22,22,2021,2021,2021
"Life without parole",25,36,2011,2021,2023
"6 months",0,2,2013,2015,2015
"Life",26,33,2015,2022,2022
"58 years",11,11,2022,2022,2023
"Probation",0,5,2010,2016,2016
"10 years",7,9,2020,2022,2022
"Life without parole",7,7,1992,1992,2023
"75 years",30,30,2010,2011,2011
"20 years",8,16,2011,2019,2019
"30 days",0,1,2015,2016,2016
"Life",3,4,1997,1997,2011
"20 years",7,7,2021,2021,2021
"25 to Life",25,26,1999,2000,2011
"Life",1,3,2011,2013,2013
"7 1/2 to 15 years",11,26,2002,2017,2020
"6 years and 9 months",1,2,1988,1989,2011
"48 to 82 years",1,1,2020,2020,2021
"Not sentenced",0,1,1990,1991,2014
"Life",5,5,2010,2010,2014
"Probation",0,0,2014,2014,2015
"Life",22,22,2006,2006,2018
"10 years",5,23,1999,2017,2017
"Not sentenced",0,0,2005,2005,2011
"20 to Life",30,30,2005,2005,2011
"Life without parole",19,19,2015,2015,2015
"31 years",5,15,1992,2002,2011
"Life",2,4,2007,2008,2011
"18 years",11,11,2008,2008,2011
"Life without parole",13,13,2022,2022,2023
"Life without parole",0,15,1997,2012,2012
"Life without parole",13,13,2022,2022,2023
"Not sentenced",0,0,2016,2016,2016
"3 years and 4 months",0,6,1996,2003,2012
"Life",12,12,1997,1997,2012
"35 years",7,21,1991,2005,2012
"55 to Life",6,6,2005,2005,2011
"25 to Life",24,25,2020,2022,2022
"55 years",25,25,2007,2007,2012
"Life",2,2,1991,1991,2018
"85 years",1,1,2014,2014,2014
"55 years",5,5,2001,2001,2014
"1 year and 6 months",0,1,2016,2017,2017
"Life",19,23,2015,2018,2018
"23 years",4,4,2011,2011,2012
"15 years",1,1,2004,2004,2011
"Probation",0,1,2012,2013,2016
"20 years",4,4,1997,1997,2013
"6 months",0,7,2009,2016,2016
"Probation",0,20,1970,1990,2013
"15 years",0,0,1998,1998,2012
"90 years",18,18,2010,2010,2011
"25 years",12,13,2013,2015,2015
"5 to 25 years",4,4,1994,1994,2011
"Probation",0,1,2011,2013,2016
"25 to life",19,19,2017,2017,2017
"7 to 10 years",6,9,2013,2016,2018
"28 years",7,40,1980,2012,2016
"Life",17,17,2003,2003,2011
"Probation",0,3,2000,2003,2022
"15 to Life",12,13,1988,1990,2013
"29 years",14,29,2008,2023,2023
"5 years",3,3,2000,2000,2021
"21 days",0,0,2015,2015,2015
"5 years",2,2,2017,2017,2018
"Life without parole",3,3,2006,2006,2013
"10 years",10,24,2003,2017,2017
"Probation",0,15,2006,2022,2023
"Life",22,22,2009,2009,2011
"Life",26,27,2003,2003,2011
"45 years",13,14,2022,2024,2024
"23 years",3,3,1998,1998,2012
"4 years and 8 months",3,3,1998,1998,2012
"Life",1,3,2010,2012,2018
"35 2/3 to life",9,13,2003,2007,2013
"20 years",6,18,2005,2017,2017
"Life",7,10,1996,1998,2020
"Not sentenced",3,3,2016,2016,2016
"Death",17,17,2001,2001,2011
"60 years",10,11,2022,2023,2023
"20 to Life",12,12,2001,2001,2011
"20 5/6 years to 50 years",21,21,2006,2006,2011
"Life without parole",1,1,2015,2015,2015
"Life",7,7,2004,2004,2013
"Probation",0,0,1999,2000,2011
"4 years",2,15,2006,2020,2020
"Life without parole",19,20,2021,2022,2022
"30 to Life",2,2,2003,2003,2014
"Not sentenced",0,1,1996,1997,2015
"Life",22,22,2009,2009,2012
"1 year",0,1,2017,2018,2018
"2 years",0,12,2009,2022,2022
"15 to 25 years",24,24,2009,2009,2011
"Life",14,15,2013,2014,2014
"12 years",5,5,2010,2010,2013
"25 to Life",25,26,2019,2020,2021
"1 year and 6 months",0,10,2012,2022,2022
"2 years",1,14,2009,2022,2022
"7 months",0,6,2009,2015,2015
"40 years",7,7,2013,2013,2013
"25 to life",23,23,2019,2019,2019
"22 years",13,14,2005,2006,2011
"Not sentenced",0,2,2011,2013,2013
"5 years",4,13,2002,2011,2012
"Death",16,22,2003,2009,2011
"Community service",0,6,1997,2004,2014
"12 years",10,18,2007,2014,2021
"Not sentenced",0,6,2009,2015,2015
"12 years",3,3,2012,2012,2016
"Death",42,42,2019,2019,2019
"10 years",3,3,2009,2009,2013
"Probation",0,17,2004,2022,2022
"15 to 30 years",14,14,2017,2017,2017
"7 years and 3 months",1,2,1997,1997,2012
"6 to 16 years",0,0,2019,2019,2019
"Not sentenced",0,2,2007,2009,2011
"1 year",0,19,2002,2022,2022
"Life without parole",37,37,2022,2022,2023
"25 to life",23,23,2014,2014,2014
"Life without parole",14,14,2020,2020,2020
"3 years",4,4,2015,2015,2015
"Probation",0,0,2014,2014,2015
"40 years",27,31,2018,2022,2022
"2 years",1,10,2005,2015,2015
"90 days",0,10,2013,2023,2023
"Life without parole",6,6,2010,2010,2017
"Death",22,22,2019,2020,2020
"8 days",0,0,2015,2015,2016
"Life without parole",35,36,2017,2018,2018
"Life without parole",33,33,2015,2015,2015
"25 to Life",10,11,2006,2007,2011
"Life",1,1,2011,2011,2013
"15 years",7,7,2006,2006,2012
"Life without parole",37,37,2020,2020,2020
"Death",29,29,2014,2014,2014
"5 years",1,10,2009,2018,2018
"2 years",0,5,2013,2018,2018
"Life",4,5,1990,1991,2011
"Life",4,5,1990,1991,2011
"32 to 50 years",13,14,2013,2014,2015
"6 years",1,1,2020,2020,2022
"26 years",5,5,2018,2018,2023
"40 years",16,16,2002,2003,2011
"25 to life",5,5,2015,2015,2015
"25 to Life",8,8,2006,2006,2013
"Probation",0,3,2000,2003,2022
"10 days",0,7,2008,2015,2015
"40 years",5,5,1993,1993,2017
"Life",26,28,2018,2021,2021
"10 years",1,1,2007,2007,2022
"Life",21,21,2016,2016,2016
"Life",5,5,1996,1996,2011
"2 years and 6 months",1,4,2006,2009,2018
"5 years",1,1,2009,2009,2022
"Life without parole",5,5,2019,2019,2019
"6 months",0,1,2011,2012,2012
"40 years",16,16,2015,2015,2015
"Life",19,19,2013,2013,2013
"Life",11,11,1999,1999,2011
"3 years",0,1,1995,1997,2013
"3 years",0,3,2000,2003,2022
"Probation",0,3,2000,2003,2022
"23 years",7,7,1996,1996,2011
"5 years",0,0,2013,2013,2013
"50 years",17,25,1999,2006,2011
"15 to 30 years",3,3,2016,2016,2017
"Life without parole",20,20,2017,2017,2017
"31 years",12,12,2019,2019,2020
"Not sentenced",0,0,2006,2006,2012
"Life",0,0,2010,2010,2011
"Life without parole",28,31,2019,2023,2023
"Life without parole",26,26,2022,2022,2022
"20 years",1,1,2012,2012,2017
"Life without parole",4,7,2013,2015,2015
"22 to 45 years",7,7,1992,1992,2014
"3 months",0,17,2005,2022,2022
"30 years",10,16,1985,1991,2011
"10 to 30 years",7,7,1997,1997,2011
"Not sentenced",0,0,2016,2017,2017
"3 years",0,0,2013,2013,2013
"15 to Life",2,2,2011,2011,2012
"10 to life",0,0,1993,1993,2014
"25 years",9,9,2018,2018,2018
"Life without parole",33,33,2022,2022,2022
"Life",13,29,2004,2020,2020
"Life without parole",14,14,2008,2008,2012
"25 days",0,0,2015,2015,2015
"Life without parole",6,6,2021,2021,2021
"25 to life",13,13,2007,2007,2012
"8 years",1,2,2020,2021,2021
"Life",6,6,2006,2006,2011
"11 years",1,1,2014,2014,2016
"4 years",2,2,2000,2000,2021
"18 1/2 to life",25,27,2022,2023,2023
"Life",25,25,2017,2018,2018
"33 to life",26,26,2016,2016,2016
"30 years",12,19,2007,2014,2014
"6 days",0,0,2017,2017,2017
"12 years",7,8,1999,2000,2011
"2 years",0,1,1991,1993,2021
"13 years",0,2,2006,2008,2011
"32 to 43 years",4,4,2002,2002,2011
"Life without parole",28,28,2022,2022,2022
"15 years",8,18,2011,2021,2021
"25 to life",19,20,2017,2018,2018
"180 days",0,6,2013,2020,2020
"25 to Life",12,13,2020,2021,2022
"10 months",0,0,2014,2014,2014
"30 days",0,9,2009,2018,2018
"26 years",3,4,2012,2013,2013
"60 days",0,8,2006,2015,2015
"20 to Life",27,27,2009,2009,2011
"30 days",0,0,2016,2016,2016
"36 to life",20,20,2015,2015,2015
"5 to 15 years",9,17,2007,2016,2016
"30 to life",9,51,1974,2016,2016
"Death",3,3,1996,1996,2011
"23 years and 4 months",4,4,2000,2000,2012
"Probation",0,1,2013,2015,2015
"8 years",4,16,2002,2014,2015
"Life without parole",26,26,2012,2012,2012
"15 years",1,1,2021,2021,2021
"Life",1,1,2003,2003,2011
"45 years",22,22,2022,2022,2022
"Death",5,5,2004,2004,2011
"30 years",4,4,2016,2016,2016
"Death",2,2,2000,2000,2011
"Not sentenced",0,0,2011,2012,2014
"37 1/2 to 75 years",5,6,2005,2006,2015
"5 years",2,8,2015,2020,2021
"Probation",0,4,2009,2014,2016
"20 to Life",17,17,2005,2005,2011
"2 years",1,10,2008,2017,2018
"6 years",0,3,2018,2021,2021
"Life without parole",27,27,2019,2019,2019
"Probation",0,2,2007,2010,2022
"Life",24,24,1993,1993,2011
"30 years",10,24,1993,2007,2011
"8 years",3,17,2007,2021,2021
"3 years and 4 months",2,29,1997,2023,2023
"24 years",27,27,2009,2009,2011
"22 to 56 years",20,26,2011,2017,2017
"90 days",0,2,2008,2011,2013
"Life",14,15,2013,2014,2014
"3 years and four months",2,10,2009,2017,2018
"Life",8,9,1990,1991,2011
"7 years",1,1,2008,2008,2012
"Life",11,11,2007,2007,2011
"Life",16,18,2020,2023,2023
"Not sentenced",0,1,2007,2009,2012
"1 year",0,2,2018,2020,2020
"Probation",0,9,2006,2016,2016
"20 years",1,1,2003,2003,2011
"36 years",16,23,2009,2017,2017
"25 to life",15,15,2012,2012,2012
"3 years",1,12,2008,2018,2018
"15 to life",19,20,2015,2016,2016
"Not sentenced",0,2,2015,2018,2019
"Life without parole",22,22,2019,2019,2019
"10 to 20 years",14,14,2002,2002,2011
"27 to Life",12,12,2003,2003,2011
"Death",2,2,1994,1994,2011
"10 years",1,2,1993,1994,2016
"10 years",1,2,1993,1994,2016
"3 years and 1 month",1,1,1999,1999,2011
"30 years",3,6,2019,2023,2023
"25 to Life",23,23,2004,2004,2011
"41 to Life",14,14,2012,2012,2012
"1 year and 4 months",1,2,1999,2000,2021
"35 years",19,19,2017,2018,2018
"10 to 25 years",16,16,2007,2007,2011
"20 to life",4,4,2010,2010,2016
"5 years",0,20,1997,2017,2017
"Life without parole",30,30,2022,2022,2022
"55 years",19,19,2015,2015,2015
"Not sentenced",0,0,2007,2007,2012
"1 year and 6 months",1,1,2001,2001,2014
"Life",6,6,2020,2020,2020
"1 year and 6 months",0,2,2008,2011,2021
"5 years",2,2,2022,2022,2022
"15 to Life",5,5,2002,2002,2011
"90 years",5,5,2023,2023,2023
"10 years",4,19,1994,2009,2011
"45 years",21,27,2016,2022,2022
"42 years",24,24,2024,2024,2024
"Life",11,20,1995,2004,2011
"5 to Life",18,18,2004,2004,2011
"22 years",12,12,2007,2007,2014
"Not sentenced",0,0,2006,2006,2013
"Life without parole",9,9,2023,2023,2023
"2 years",0,16,2005,2022,2022
"2 years",7,7,2015,2015,2015
"Life without parole",11,11,2021,2021,2021
"9 years",3,6,2006,2008,2016
"4 years",1,16,2007,2022,2022
"50 years",6,7,2007,2007,2011
"110 years",14,16,2010,2012,2012
"80 years",24,29,2019,2024,2024
"8 months",0,8,2016,2023,2024
"45 years",10,11,1996,1997,2012
"16 years",3,4,1989,1990,2011
"13 years",2,2,2016,2016,2016
"Death",13,13,2000,2000,2011
"40 years",9,11,2018,2019,2020
"3 years",1,1,2010,2010,2022
"32 to life",3,3,1991,1991,2012
"45 to life",5,5,1993,1993,2012
"Not sentenced",0,0,2016,2017,2017
"42 years and 8 months",3,5,2010,2011,2013
"Death",5,5,1996,1996,2011
"18 1/2 to 23 7/8 years",8,11,2016,2019,2019
"Life",6,8,2019,2021,2021
"11 years",3,6,2011,2014,2019
"Death",15,15,2010,2010,2011
"Life without parole",21,21,2017,2017,2017
"Life",7,7,1999,1999,2011
"60 years",20,20,1999,1999,2011
"50 years",6,24,1985,2002,2011
"3 years",3,8,2017,2022,2023
"52 years",3,3,1990,1990,2011
"Death",27,32,1995,2001,2011
"20 to 50 years",12,12,2001,2001,2011
"Probation",0,0,2010,2011,2013
"23 years",4,4,1999,1999,2012
"Not sentenced",0,0,1990,1990,2011
"10 years",6,6,2022,2022,2022
"16 years",2,2,2008,2008,2011
"Death",6,6,1999,2000,2011
"15 to Life",15,15,1996,1996,2011
"11 years",0,0,1997,1997,2013
"75 years",27,27,2010,2010,2011
"33 to Life",23,23,2008,2008,2011
"15 to life",20,20,2006,2006,2012
"Life",2,2,2001,2001,2013
"Life without parole",17,18,2012,2013,2013
"15 years",0,0,2019,2019,2019
"Probation",0,0,2014,2015,2015
"70 years",6,6,2000,2000,2011
"Probation",0,17,2005,2022,2022
"5 to Life",3,3,1996,1996,2011
"Not sentenced",2,2,1994,1994,2014
"Life",12,13,2023,2023,2023
"3 1/3 to 10 years",3,3,2000,2000,2013
"Death",24,25,2012,2013,2013
"1 year",1,14,2004,2017,2018
"Life without parole",9,9,1996,1996,2018
"8 months",0,3,2013,2017,2020
"Life",23,24,2012,2012,2012
"15 to 35 years",9,9,2012,2012,2012
"12 1/2 to 25 years",9,9,2005,2006,2011
"4 to 12 years",2,2,1995,1995,2014
"Not sentenced",0,3,1999,2001,2013
"1 year",0,3,2014,2017,2017
"60 years",5,5,2016,2016,2016
"Probation",0,2,1997,2000,2021
"3 to 9 years",4,5,1991,1992,2013
"1 year",0,1,1999,2000,2021
"Probation",0,0,2014,2015,2015
"59 days",0,7,2010,2018,2023
"Life",11,11,2005,2005,2012
"20 to life",19,22,1991,1994,2013
"35 years",1,1,2002,2002,2016
"1 to 2 years",1,18,2006,2022,2023
"30 years",21,26,2015,2020,2020
"18 to 20 years",5,5,1997,1997,2011
"Probation",0,0,2015,2015,2015
"Death",28,28,2024,2024,2024
"Life",23,27,2017,2022,2022
"5 years",3,22,1999,2018,2018
"15 days",0,1,2014,2016,2016
"4 years",2,5,2007,2010,2016
"Life",2,2,2001,2001,2017
"Life",1,1,1995,1995,2015
"1 year and 3 months",0,3,2012,2016,2016
"23 1/2 to 47 years",32,32,2017,2017,2017
"5 to Life",1,2,2005,2007,2012
"Life without parole",35,36,2008,2008,2011
"50 years",24,30,2017,2023,2023
"3 years and 6 months",1,16,2007,2022,2022
"2 months",0,2,2011,2014,2014
"Life",14,14,2004,2004,2011
"5 years",1,4,2014,2016,2019
"3 years",3,3,2005,2005,2011
"18 years",3,3,2003,2003,2022
"20 years",4,4,2013,2013,2013
"15 years",15,17,2008,2011,2012
"Life",19,19,2007,2007,2011
"33 years and 4 months",16,19,2003,2005,2011
"18 months to life",1,5,2020,2023,2024
"25 to life",19,22,2011,2015,2015
"52 to 82 years",24,24,2020,2020,2020
"Life",5,9,2016,2020,2020
"5 years",3,4,2016,2016,2018
"40 years",6,6,1992,1992,2018
"60 years",19,28,2002,2011,2014
"5 to Life",3,3,1996,1996,2011
"6 to 12 months",1,7,2009,2015,2015
"6 days",0,0,2016,2016,2016
"Life without parole",34,34,2014,2015,2015
"5 years",1,1,2004,2004,2011
"Not sentenced",0,1,1990,1992,2014
"Community service",0,0,2006,2006,2011
"14 years and 6 months",5,5,2011,2011,2012
"10 years",7,7,2009,2009,2017
"80 years",16,16,2011,2011,2012
"Life",21,22,2016,2018,2018
"10 to 12 years",5,7,1995,1998,2011
"10 months",0,7,2009,2017,2017
"30 to life",22,25,2015,2018,2018
"30 years",9,10,2003,2004,2012
"Life",9,9,2021,2021,2022
"3 1/2 to 7 years",1,32,1989,2020,2020
"5 years",2,19,1987,2005,2017
"65 years",4,4,2019,2019,2019
"25 years",2,4,2005,2007,2011
"6 years",0,3,2018,2021,2021
"8 years",5,24,1997,2016,2016
"Life without parole",17,17,2020,2020,2020
"Life",24,25,2003,2003,2011
"75 years",0,7,2015,2023,2023
"7 years",1,1,2000,2000,2011
"Death",12,12,1997,1997,2011
"25 to life",5,8,2012,2016,2016
"3 years",3,3,1999,2000,2021
"76 years",9,9,2023,2023,2024
"2 years and 6 months",0,13,2009,2021,2021
"15 years",6,6,2020,2020,2020
"1 year",0,13,2007,2021,2021
"9 to 18 years",8,8,2000,2000,2011
"Life without parole",6,6,2021,2021,2021
"25 years",3,11,2013,2021,2022
"50 years",22,23,2001,2003,2011
"90 years",31,31,2023,2023,2023
"80 years",28,33,2017,2022,2022
"10 months",0,1,1990,1991,2014
"5 years",2,15,2009,2021,2021
"30 years",7,7,2013,2013,2013
"39 years",1,1,2021,2021,2022
"15 years",8,10,2010,2013,2017
"50 to Life",12,12,1990,1990,2014
"10 to 20 years",7,8,1995,1995,2011
"Life",17,17,2004,2004,2011
"5 years",2,13,2009,2020,2020
"Probation",0,2,2013,2015,2018
"1 1/3 to 2 years",1,1,2015,2015,2018
"12 years",8,10,1999,2001,2014
"40 years",12,12,2004,2005,2011
"4 years and 6 months",1,12,2008,2019,2019
"Life",32,32,2016,2016,2016
"Life without parole",11,11,2012,2012,2012
"6 years and 3 months",3,3,2022,2022,2023
"Life without parole",34,34,2022,2022,2023
"90 years",10,10,1989,1989,2023
"25 to life",24,24,2016,2016,2016
"25 to 40 years",10,10,2008,2008,2011
"10 years",8,8,2016,2016,2016
"2 to 30 years",7,11,2015,2019,2019
"10 years",9,29,2003,2022,2022
"24 years",13,13,2019,2020,2020
"40 years",2,2,2018,2018,2018
"Probation",0,6,2010,2016,2016
"Life without parole",12,13,1998,1999,2015
"Life",8,8,2006,2007,2011
"Life",8,8,2011,2011,2012
"4 years",0,14,2007,2022,2022
"Life",18,18,2023,2023,2023
"45 years",18,18,2019,2019,2019
"74 years",26,27,2011,2011,2012
"Life",14,14,2007,2007,2015
"4 years",1,16,2006,2022,2022
"12 years and 6 months",0,3,2018,2021,2021
"Probation",0,14,2006,2021,2022
"14 years",1,1,2018,2018,2023
"4 years",2,2,2013,2013,2013
"15 years",4,4,2010,2011,2012
"30 days",0,2,2016,2018,2018
"Probation",0,1,2017,2019,2020
"Life",10,10,2007,2007,2011
"3 to 5 years",2,13,1991,2002,2012
"Life without parole",14,15,2010,2011,2012
"Probation",0,3,2000,2003,2022
"55 years",23,25,2020,2021,2021
"12 years",3,12,2010,2018,2018
"Probation",0,2,2007,2009,2022
"3 years",0,0,2010,2010,2022
"1 year",0,13,2009,2022,2022
"90 days",2,4,2006,2007,2015
"50 years",29,31,2018,2020,2020
"Life",13,13,2013,2013,2013
"Life without parole",8,11,2020,2023,2023
"2 years",1,3,2001,2003,2022
"4 years",21,21,2006,2006,2011
"Death",10,10,1995,1995,2011
"99 years",11,11,2006,2006,2013
"Life without parole",10,10,2021,2021,2021
"52 days",0,0,2015,2016,2016
"48 to life",2,2,2005,2005,2012
"50 to life",10,10,2023,2023,2024
"86 years",20,20,2022,2022,2022
"Probation",0,1,1998,2000,2021
"17 years",10,10,2014,2014,2014
"1 year and 4 months",0,2,1997,1999,2021
"19 years",7,7,2017,2017,2019
"75 years",22,22,2022,2022,2022
"5 years",2,2,2000,2000,2011
"6 months",0,0,2011,2012,2014
"80 to life",6,6,2006,2006,2012
"7 years",2,2,1992,1992,2014
"1 year",0,14,2007,2021,2021
"4 years",0,2,2016,2018,2018
"55 years",10,57,1972,2019,2020
"6 years",0,1,2018,2019,2019
"19 years",4,5,1996,1997,2011
"1 year and 6 months",1,10,2009,2018,2018
"6 months",0,8,2014,2022,2022
"12 1/2 to 25 years",18,18,2020,2020,2021
"8 years",7,13,2007,2014,2014
"25 to Life",12,12,2005,2005,2011
"Life without parole",24,25,2012,2013,2013
"Life without parole",24,25,2012,2013,2013
"5 years",3,5,2016,2018,2022
"Committed to mental hospital",13,13,2012,2012,2012
"24 years",3,4,2005,2005,2012
"26 years",5,5,2018,2018,2023
"Life without parole",10,10,2005,2005,2011
"35 years",16,27,1998,2009,2013
"47 years",2,3,2021,2022,2022
"16 1/2 to 43 years",9,10,2023,2023,2023
"Life without parole",3,6,1999,2002,2012
"18 to life",25,25,2014,2014,2014
"70 years",5,8,2017,2021,2022
"60 years",14,14,2021,2021,2021
"25 to life",23,25,2015,2017,2017
"60 days",0,2,2014,2016,2016
"Death",28,28,2015,2015,2015
"Life without parole",13,13,2022,2022,2023
"3 years",0,12,2009,2022,2022
"1 year",0,12,2009,2022,2022
"5 to 10 years",4,5,2013,2014,2021
"7 years",1,10,2014,2023,2023
"Death",12,12,2003,2003,2011
"8 years",1,1,2021,2021,2021
"Life",2,5,1996,1999,2013
"10 years",2,2,2015,2015,2015
"1 year",0,1,1996,1998,2013
"Death",11,11,2007,2007,2011
"6 years",2,2,1997,1997,2011
"4 years",1,17,2006,2022,2022
"6 years and 3 months",6,16,2008,2018,2018
"17 to 27 years",2,3,2009,2009,2017
"30 to 60 years",14,15,1999,2000,2011
"4 to 25 years",3,5,1992,1994,2018
"Life",10,10,1999,1999,2011
"90 years",0,5,1997,2003,2011
"28 years",8,8,2003,2003,2011
"Life without parole",26,26,2019,2019,2019
"Life",23,23,2016,2016,2016
"9 years",6,8,2012,2014,2015
"4 years",1,13,2009,2020,2021
"3 years",1,15,2008,2022,2022
"25 years",5,5,2011,2011,2016
"6 months",0,0,2014,2015,2015
"400 years",33,33,2023,2023,2023
"25 years",10,12,1998,2000,2015
"Death",16,16,2003,2003,2011
